codec, NN performance compared to original, File size when compared to original, K metric
h264-ultrafastSSIM,97.12,94.74,1.03
h264-ultrafastPNSR,97.12,94.74,1.03
h264-superfastSSIM,94.05,100.62,0.93
h264-superfastPNSR,94.69,101.49,0.93
h264-veryfastSSIM,94.16,97.86,0.96
h264-veryfastPNSR,94.16,97.86,0.96
h264-fasterSSIM,94.08,99.76,0.94
h264-fasterPNSR,94.08,99.76,0.94
h264-fastSSIM,94.88,102.71,0.92
h264-fastPNSR,94.88,102.71,0.92
h264-mediumSSIM,95.02,102.76,0.92
h264-mediumPNSR,95.02,102.76,0.92