['0'],679,668,668,657,657,659,659,668,668,667,667,667,667
['1'],662,648,648,593,593,631,631,646,646,600,600,600,600
['2'],621,926,926,874,874,870,870,903,903,898,898,898,898
['3'],670,287,287,280,280,286,286,287,287,287,287,287,287
['4'],609,284,284,292,292,293,293,290,290,288,288,288,288
['5'],599,298,298,299,299,300,300,298,298,299,299,299,299
['6'],694,299,299,298,298,297,297,298,298,298,298,298,298
['7'],717,299,299,298,298,299,299,299,299,298,298,297,297
['8'],744,494,494,494,494,493,493,495,495,493,493,494,494
['9'],892,463,463,474,474,456,456,460,460,459,459,464,464
['10'],954,393,393,395,395,394,394,391,391,390,390,390,390
['11'],1006,395,395,396,396,394,394,394,394,395,395,395,395
['12'],956,394,394,388,388,388,388,391,391,387,387,387,387
['13'],978,960,960,967,967,963,963,995,995,970,970,970,970
['14'],1023,395,395,396,396,396,396,396,396,395,395,395,395
['15'],1051,297,297,296,296,295,295,295,295,294,294,293,293
['16'],1033,293,293,291,291,288,288,289,289,286,286,288,288
['17'],1104,298,298,296,296,294,294,293,293,296,296,294,294
['18'],1067,299,299,299,299,299,299,299,299,298,298,298,298
['19'],1173,398,398,397,397,396,396,397,397,396,396,397,397
['20'],1246,495,495,495,495,496,496,494,494,495,495,495,495
['21'],1126,494,494,494,494,488,488,494,494,490,490,490,490
['22'],1079,485,485,490,490,487,487,490,490,488,488,488,488
['23'],1134,498,498,499,499,499,499,498,498,499,499,499,499
['24'],1053,937,937,895,895,914,914,924,924,928,928,928,928
['25'],1118,497,497,496,496,496,496,495,495,495,495,495,495
['26'],1069,494,494,493,493,494,494,493,493,493,493,493,493
['27'],1046,398,398,397,397,396,396,398,398,396,396,396,396
['28'],935,353,353,346,346,344,344,349,349,348,348,344,344
['29'],955,296,296,338,338,290,290,291,291,322,322,292,292
['30'],835,393,393,393,393,390,390,393,393,390,390,390,390
['31'],662,495,495,492,492,489,489,486,486,492,492,492,492
['32'],501,497,497,491,491,493,493,496,496,496,496,496,496
['33'],374,498,498,498,498,496,496,496,496,497,497,497,497
['34'],362,499,499,498,498,485,485,487,487,498,498,498,498
['35'],299,976,976,934,934,961,961,952,952,967,967,967,967
['36'],421,490,490,484,484,491,491,488,488,490,490,490,490
['37'],522,495,495,497,497,496,496,494,494,496,496,496,496
['38'],497,498,498,498,498,498,498,496,496,496,496,496,496
['39'],358,455,455,468,468,481,481,476,476,484,484,482,482
['40'],443,399,399,400,400,398,398,399,399,398,398,399,399
['41'],502,300,300,300,300,299,299,299,299,298,298,299,299
['42'],563,298,298,295,295,294,294,296,296,375,375,367,367
['43'],598,398,398,396,396,395,395,398,398,396,396,396,396
['44'],758,398,398,397,397,395,395,395,395,397,397,397,397
['45'],807,397,397,396,396,395,395,394,394,395,395,396,396
['46'],707,975,975,942,942,963,963,934,934,967,967,967,967
['47'],669,460,460,443,443,397,397,397,397,443,443,443,443
['48'],793,479,479,477,477,466,466,463,463,477,477,477,477
['49'],779,487,487,482,482,478,478,478,478,478,478,480,480
['50'],626,495,495,465,465,478,478,490,490,486,486,484,484
['51'],647,496,496,467,467,473,473,480,480,484,484,490,490
['52'],919,481,481,476,476,459,459,467,467,476,476,488,488
['53'],897,493,493,486,486,472,472,488,488,490,490,491,491
['54'],735,398,398,392,392,357,357,388,388,397,397,396,396
['55'],735,396,396,387,387,358,358,389,389,391,391,383,383
['56'],735,395,395,390,390,394,394,391,391,393,393,393,393
['57'],1360,992,992,1026,1026,973,973,981,981,972,972,972,972
['58'],1300,294,294,289,289,248,248,299,299,299,299,299,299
['59'],1237,297,297,293,293,281,281,299,299,298,298,299,299
['60'],1375,293,293,294,294,292,292,295,295,295,295,296,296
['61'],1504,295,295,290,290,281,281,289,289,293,293,292,292
['62'],1326,292,292,289,289,283,283,290,290,285,285,277,277
['63'],1238,298,298,297,297,297,297,296,296,296,296,295,295
['64'],1437,291,291,294,294,293,293,294,294,289,289,287,287
['65'],1482,480,480,473,473,463,463,473,473,472,472,472,472
['66'],1486,429,429,450,450,419,419,436,436,432,432,432,432
['67'],1301,434,434,450,450,430,430,424,424,421,421,421,421
['68'],1062,954,954,870,870,876,876,928,928,840,840,840,840
['69'],1292,394,394,390,390,389,389,387,387,394,394,394,394
['70'],1093,396,396,396,396,394,394,395,395,394,394,394,394
['71'],1094,461,461,475,475,461,461,447,447,468,468,451,451
['72'],1076,415,415,492,492,449,449,461,461,500,500,446,446
['73'],1086,483,483,480,480,485,485,486,486,482,482,486,486
['74'],1086,490,490,484,484,483,483,475,475,486,486,482,482
['75'],1102,588,588,586,586,561,561,588,588,592,592,592,592
['76'],1090,681,681,665,665,670,670,671,671,673,673,673,673
['77'],1082,679,679,672,672,660,660,674,674,672,672,672,672
['78'],1071,676,676,670,670,658,658,670,670,661,661,661,661
['79'],879,994,994,1026,1026,965,965,989,989,1018,1018,1016,1016
['80'],884,759,759,743,743,753,753,755,755,747,747,747,747
['81'],840,845,845,820,820,813,813,828,828,848,848,849,849
['82'],789,854,854,814,814,774,774,816,816,800,800,797,797
['83'],774,700,700,613,613,669,669,603,603,595,595,618,618
['84'],746,466,466,386,386,500,500,392,392,381,381,416,416
['85'],682,663,663,623,623,635,635,595,595,606,606,579,579
['86'],681,929,929,739,739,851,851,865,865,904,904,904,904
['87'],659,922,922,937,937,909,909,926,926,921,921,921,921
['88'],757,964,964,958,958,927,927,907,907,947,947,947,947
['89'],552,895,895,867,867,790,790,745,745,830,830,839,839
['90'],463,1068,1068,1036,1036,1035,1035,1037,1037,1030,1030,1034,1034
['91'],513,891,891,844,844,897,897,879,879,895,895,895,895
['92'],460,822,822,788,788,825,825,803,803,827,827,827,827
['93'],398,812,812,815,815,853,853,894,894,880,880,876,876
['94'],398,949,949,914,914,932,932,878,878,1027,1027,1012,1012
['95'],300,1062,1062,986,986,999,999,989,989,1034,1034,1046,1046
['96'],300,1044,1044,995,995,1023,1023,1052,1052,1026,1026,1026,1026
['97'],299,935,935,941,941,905,905,936,936,908,908,908,908
['98'],296,929,929,927,927,834,834,855,855,941,941,941,941
['99'],299,926,926,872,872,836,836,855,855,893,893,893,893
['100'],291,969,969,941,885,893,893,895,895,943,943,940,940
['101'],290,1092,1092,1006,1054,1063,1063,1092,1092,1090,1090,1090,1090
['102'],299,992,992,965,933,917,917,945,945,944,944,944,944
['103'],298,1013,1013,987,982,990,990,1011,1011,987,987,987,987
['104'],299,1017,1017,1100,960,962,962,943,943,939,939,939,939
['105'],495,1060,1060,1065,1019,981,981,950,950,991,991,1011,1011
['106'],416,1079,1079,1058,1099,1032,1032,1034,1034,1047,1047,1040,1040
['107'],392,1181,1181,1075,1191,1023,1023,1041,1041,1031,1031,1039,1039
['108'],393,1092,1092,969,1041,957,957,1002,1002,965,965,991,991
['109'],389,1135,1135,1027,1128,1050,1050,1057,1057,1065,1065,1072,1072
['110'],397,1029,1029,578,967,967,967,950,950,984,984,986,986
['111'],296,1070,1070,1135,1024,1010,1010,1003,1003,1030,1030,1015,1015
['112'],292,524,524,966,539,570,570,565,565,551,551,551,551
['113'],298,1161,1161,935,1205,1071,1071,1078,1078,1132,1132,1132,1132
['114'],299,1025,1025,961,994,1059,1059,1044,1044,1056,1056,1056,1056
['115'],457,960,960,905,927,969,969,968,968,974,974,976,976
['116'],495,983,983,759,934,936,936,961,961,944,944,926,926
['117'],493,882,882,452,881,870,870,908,908,861,861,896,896
['118'],485,695,695,579,737,811,811,830,830,820,820,770,770
['119'],499,476,476,534,436,583,583,515,515,457,457,456,456
['120'],494,671,671,964,659,658,658,622,622,665,665,661,661
['121'],496,661,661,910,628,733,733,635,635,560,560,644,644
['122'],399,1031,1031,991,925,1046,1046,1025,1025,992,992,992,992
['123'],357,919,919,944,938,929,929,911,911,932,932,932,932
['124'],358,997,997,969,957,954,954,984,984,964,964,964,964
['125'],391,971,971,861,950,947,947,964,964,956,956,956,956
['126'],497,971,971,811,970,962,962,967,967,956,956,955,955
['127'],496,870,870,842,863,828,828,845,845,852,852,848,848
['128'],500,856,856,827,769,753,753,738,738,747,747,748,748
['129'],499,896,896,873,851,828,828,759,759,786,786,808,808
['130'],497,865,865,871,795,848,848,826,826,729,729,786,786
['131'],497,886,886,807,843,862,862,855,855,787,787,841,841
['132'],498,867,867,587,846,865,865,857,857,871,871,871,871
['133'],467,812,812,1015,820,812,812,827,827,832,832,832,832
['134'],400,592,592,493,585,585,585,585,585,586,586,586,586
['135'],300,1040,1040,489,1003,1055,1055,1048,1048,1068,1068,1068,1068
['136'],391,497,497,486,494,491,491,492,492,492,492,492,492
['137'],399,494,494,428,492,484,484,490,490,493,493,492,492
['138'],398,493,493,496,486,488,488,490,490,487,487,489,489
['139'],397,469,469,547,448,393,393,392,392,390,390,420,420
['140'],469,599,599,588,488,451,451,453,453,492,492,494,494
['141'],486,582,582,622,545,549,549,538,538,565,565,559,559
['142'],493,572,572,643,478,566,566,593,593,589,589,589,589
['143'],494,655,655,564,649,622,622,576,576,623,623,623,623
['144'],497,763,763,1061,739,601,601,694,694,713,713,713,713
['145'],494,622,622,570,624,508,508,479,479,553,553,511,511
['146'],491,1010,1010,948,1010,974,974,1010,1010,1087,1087,1053,1053
['147'],399,548,548,885,568,641,641,629,629,644,644,644,644
['148'],397,1033,1033,991,926,1022,1022,997,997,1006,1006,1002,1002
['149'],394,990,990,1023,880,909,909,883,883,944,944,951,951
['150'],299,1069,1069,1146,995,968,968,919,919,977,977,963,963
['151'],298,1087,1087,978,1039,1016,1016,1015,1015,1048,1048,1033,1033
['152'],292,1186,1186,943,974,1043,1043,1147,1147,1127,1127,1127,1127
['153'],296,1039,1039,1019,1083,976,976,972,972,1033,1033,1033,1033
['154'],292,1090,1090,1052,1038,922,922,955,955,1052,1052,1052,1052
['155'],298,1046,1046,1043,1019,1040,1040,1026,1026,986,986,984,984
['156'],290,1060,1060,948,1059,1017,1017,1020,1020,1011,1011,1020,1020
['157'],470,1023,1023,950,1018,1073,1073,983,983,1037,1037,1021,1021
['158'],434,963,963,1045,926,923,923,925,925,902,902,904,904
['159'],465,951,951,994,942,951,951,944,944,957,957,951,951
['160'],397,1060,1060,1026,1051,1036,1036,1025,1025,1042,1042,1044,1044
['161'],396,1025,1025,737,972,982,982,977,977,982,982,992,992
['162'],480,1017,1017,558,1013,1012,1012,1003,1003,1019,1019,1019,1019
['163'],488,761,761,504,728,731,731,723,723,776,776,776,776
['164'],486,501,501,577,547,577,577,570,570,517,517,517,517
['165'],488,574,574,747,498,560,560,514,514,498,498,511,511
['166'],596,568,568,1066,557,621,621,582,582,574,574,585,585
['167'],683,746,746,787,699,721,721,709,709,682,682,694,694
['168'],682,1072,1072,754,1080,1014,1014,977,977,1064,1064,1020,1020
['169'],667,814,814,737,799,801,801,809,809,801,801,801,801
['170'],767,763,763,721,746,741,741,745,745,743,743,743,743
['171'],854,753,753,682,735,735,735,733,733,749,749,749,749
['172'],856,716,716,680,729,713,713,705,705,680,680,709,709
['173'],680,681,681,688,677,682,682,679,679,674,674,678,678
['174'],333,688,688,687,685,682,682,679,679,681,681,685,685
['175'],650,693,693,576,688,690,690,690,690,692,692,691,691
['176'],914,685,685,579,688,682,682,686,686,685,685,685,685
['177'],930,588,588,1058,569,575,575,577,577,609,609,574,574
['178'],964,590,590,460,580,579,579,578,578,582,582,583,583
['179'],894,1051,1051,389,1039,1037,1037,1057,1057,1056,1056,1056,1056
['180'],929,492,492,397,479,444,444,396,396,470,470,470,470
['181'],876,395,395,398,397,387,387,394,394,393,393,393,393
['182'],932,398,398,399,398,393,393,393,393,398,398,397,397
['183'],1138,399,399,396,398,392,392,397,397,394,394,396,396
['184'],1098,398,398,299,399,397,397,398,398,397,397,398,398
['185'],1065,396,396,394,395,392,392,394,394,395,395,394,394
['186'],993,299,299,392,299,297,297,298,298,298,298,298,298
['187'],973,396,396,392,394,387,387,393,393,395,395,390,390
['188'],977,394,394,857,393,390,390,391,391,385,385,389,389
['189'],1001,391,391,434,386,390,390,392,392,393,393,393,393
['190'],1097,1014,1014,474,998,868,868,847,847,918,918,918,918
['191'],1158,465,465,450,455,428,428,457,457,456,456,456,456
['192'],1092,475,475,490,448,423,423,382,382,453,453,460,460
['193'],1173,465,465,496,449,469,469,467,467,460,460,462,462
['194'],1215,497,497,470,486,480,480,476,476,486,486,485,485
['195'],1256,497,497,476,496,491,491,495,495,495,495,497,497
['196'],1143,495,495,479,467,477,477,479,479,478,478,476,476
['197'],1129,460,460,395,474,449,449,463,463,465,465,463,463
['198'],1049,474,474,396,465,472,472,476,476,478,478,476,476
['199'],1073,389,389,938,393,394,394,394,394,394,394,394,394
['200'],1075,397,397,395,397,396,396,397,397,395,395,395,395
['201'],995,917,917,385,900,937,937,943,943,943,943,943,943
['202'],1038,397,397,338,394,394,394,394,394,394,394,394,394
['203'],919,393,393,369,381,386,386,385,385,382,382,389,389
['204'],650,327,327,360,335,337,337,328,328,332,332,340,340
['205'],353,375,375,246,357,361,361,353,353,371,371,379,379
['206'],712,368,368,176,344,338,338,352,352,337,337,349,349
['207'],747,268,268,152,232,260,260,280,280,277,277,256,256
['208'],1006,166,166,166,150,170,170,146,146,114,114,143,143
['209'],951,128,128,126,181,214,214,212,212,169,169,169,169
['210'],971,139,139,852,70,164,164,132,132,187,187,187,187
['211'],961,26,26,116,68,149,149,80,80,116,116,116,116
['212'],882,872,872,117,880,904,904,898,898,916,916,916,916
['213'],878,92,92,83,105,141,141,138,138,109,109,109,109
['214'],939,93,93,79,156,121,121,136,136,134,134,139,139
['215'],914,100,100,170,89,81,81,80,80,76,76,87,87
['216'],892,38,38,73,105,89,89,84,84,80,80,93,93
['217'],925,141,141,217,200,170,170,149,149,141,141,183,183
['218'],871,118,118,272,107,108,108,90,90,85,85,99,99
['219'],593,214,214,246,139,191,191,177,177,206,206,206,206
['220'],523,294,294,180,280,283,283,279,279,259,259,259,259
['221'],583,233,233,620,264,275,275,280,280,244,244,244,244
['222'],594,184,184,821,189,191,191,185,185,185,185,186,186
['223'],563,680,680,190,657,638,638,583,583,608,608,608,608
['224'],664,803,803,184,781,723,723,773,773,798,798,798,798
['225'],629,167,167,185,196,186,186,181,181,191,191,191,191
['226'],604,185,185,119,191,184,184,174,174,186,186,186,186
['227'],741,135,135,138,187,188,188,179,179,187,187,187,187
['228'],839,116,116,94,149,117,117,116,116,154,154,156,156
['229'],686,116,116,134,152,150,150,146,146,124,124,137,137
['230'],685,107,107,61,88,92,92,119,119,131,131,109,109
['231'],1059,156,156,77,107,103,103,112,112,133,133,126,126
['232'],1033,114,114,25,65,40,40,30,30,82,82,73,73
['233'],1078,114,114,680,64,45,45,93,93,93,93,79,79
['234'],1226,51,51,57,31,38,38,46,46,57,57,29,29
['235'],1252,677,677,147,674,689,689,680,680,682,682,682,682
['236'],1160,55,55,193,60,103,103,89,89,96,96,96,96
['237'],1135,141,141,185,151,165,165,155,155,160,160,160,160
['238'],1086,174,174,190,190,189,189,191,191,187,187,187,187
['239'],1070,189,189,198,184,175,175,183,183,172,172,167,167
['240'],983,196,196,197,194,180,180,181,181,178,178,189,189
['241'],981,199,199,198,198,196,196,196,196,197,197,196,196
['242'],1057,198,198,196,196,196,196,196,196,192,192,193,193
['243'],1025,198,198,546,198,195,195,198,198,199,199,197,197
['244'],993,195,195,456,197,195,195,195,195,195,195,197,197
['245'],672,560,560,458,534,549,549,546,546,552,552,552,552
['246'],301,462,462,338,449,493,493,500,500,478,478,478,478
['247'],480,439,439,428,468,477,477,446,446,443,443,443,443
['248'],497,290,290,466,344,389,389,376,376,347,347,344,344
['249'],729,416,416,485,398,420,420,435,435,452,452,433,433
['250'],834,527,527,375,498,457,457,500,500,501,501,487,487
['251'],768,479,479,587,480,462,462,470,470,477,477,486,486
['252'],736,343,343,429,357,370,370,368,368,329,329,337,337
['253'],712,624,624,449,594,616,616,606,606,606,606,606,606
['254'],687,406,406,515,429,429,429,425,425,420,420,420,420
['255'],687,504,504,500,449,358,358,375,375,413,413,413,413
['256'],691,529,529,520,515,451,451,494,494,487,487,489,489
['257'],716,517,517,562,500,471,471,473,473,466,466,465,465
['258'],584,588,588,585,520,473,473,469,469,492,492,498,498
['259'],586,704,704,627,562,490,490,484,484,523,523,564,564
['260'],489,669,669,618,585,566,566,558,558,584,584,529,529
['261'],398,653,653,688,627,592,592,598,598,612,612,613,613
['262'],399,722,722,611,618,599,599,641,641,604,604,606,606
['263'],400,665,665,442,652,666,666,663,663,715,715,715,715
['264'],400,518,518,482,613,571,571,532,532,518,518,518,518
['265'],398,527,527,498,442,431,431,472,472,489,489,489,489
['266'],299,548,548,676,482,459,459,494,494,466,466,467,467
['267'],397,666,666,662,500,446,446,514,514,529,529,511,511
['268'],396,832,832,782,678,637,637,604,604,736,736,728,728
['269'],396,806,806,806,694,717,717,632,632,707,707,718,718
['270'],481,795,795,1226,807,752,752,696,696,712,712,748,748
['271'],487,795,795,1199,817,771,771,810,810,774,774,769,769
['272'],448,1254,1254,1207,1226,1176,1176,1167,1167,1146,1146,1174,1174
['273'],496,1165,1165,681,1165,1196,1196,1201,1201,1196,1196,1196,1196
['274'],499,1213,1213,1255,1193,1211,1211,1206,1206,1236,1236,1236,1236
['275'],497,710,710,1385,678,670,670,694,694,638,638,638,638
['276'],493,1274,1274,1330,1255,1305,1305,1300,1300,1311,1311,1311,1311
['277'],486,1445,1445,1144,1387,1411,1411,1404,1404,1419,1419,1419,1419
['278'],394,1397,1397,1337,1329,1384,1384,1367,1367,1371,1371,1369,1369
['279'],398,1221,1221,1309,1144,1154,1154,1125,1125,1136,1136,1140,1140
['280'],398,1431,1431,1449,1338,1347,1347,1340,1340,1342,1342,1369,1369
['281'],396,1397,1397,1298,1309,1260,1260,1238,1238,1284,1284,1376,1376
['282'],360,1474,1474,1064,1441,1475,1475,1478,1478,1468,1468,1468,1468
['283'],385,1284,1284,1276,1275,1312,1312,1311,1311,1307,1307,1307,1307
['284'],380,1056,1056,741,1052,1038,1038,1034,1034,1042,1042,1042,1042
['285'],285,1287,1287,1090,1279,1274,1274,1262,1262,1264,1264,1269,1269
['286'],33,735,735,1095,738,756,756,740,740,696,696,696,696
['287'],174,1091,1091,1088,1090,1066,1066,1073,1073,1073,1073,1073,1073
['288'],123,1093,1093,1084,1095,1086,1086,1081,1081,1084,1084,1081,1081
['289'],180,1078,1078,1084,1087,1072,1072,1082,1082,1075,1075,1071,1071
['290'],174,1077,1077,1113,1083,1066,1066,1064,1064,1058,1058,1069,1069
['291'],119,1077,1077,1092,1084,1070,1070,1076,1076,1067,1067,1073,1073
['292'],100,1118,1118,1080,1113,1119,1119,1108,1108,1090,1090,1090,1090
['293'],0,1090,1090,1078,1093,1051,1051,1056,1056,1051,1051,1051,1051
['294'],196,1069,1069,877,1080,1078,1078,1077,1077,1076,1076,1076,1076
['295'],111,1069,1069,753,1078,1071,1071,1069,1069,1078,1078,1077,1077
['296'],251,880,880,881,877,872,872,874,874,875,875,876,876
['297'],294,792,792,822,753,678,678,710,710,703,703,703,703
['298'],248,884,884,784,881,879,879,880,880,877,877,877,877
['299'],226,864,864,768,822,821,821,831,831,829,829,829,829
['300'],193,787,787,751,784,785,785,784,784,779,779,779,779
['301'],178,778,778,690,768,758,758,764,764,761,761,759,759
['302'],162,760,760,684,751,752,752,749,749,753,753,747,747
['303'],99,688,688,641,690,686,686,688,688,682,682,688,688
['304'],108,683,683,741,684,677,677,676,676,672,672,669,669
['305'],78,664,664,580,641,641,641,655,655,654,654,643,643
['306'],144,762,762,886,741,751,751,752,752,739,739,742,742
['307'],69,563,563,504,580,588,588,602,602,588,588,604,604
['308'],96,906,906,510,893,895,895,863,863,883,883,883,883
['309'],45,499,499,459,504,507,507,501,501,508,508,508,508
['310'],113,521,521,396,510,491,491,507,507,502,502,502,502
['311'],178,478,478,397,459,447,447,458,458,450,450,451,451
['312'],196,397,397,300,395,393,393,396,396,394,394,394,394
['313'],194,398,398,299,397,396,396,395,395,396,396,395,395
['314'],194,300,300,299,300,299,299,299,299,299,299,299,299
['315'],198,300,300,294,299,298,298,299,299,300,300,300,300
